SITE,DTS,COUNTID,LANE,DIR,SPD,AX,GW_TOT,HEADT,GAPT,LENTH,CS,AWT01,AWT02,AWT03,AWT04,AWT05,AWT06,AWT07,AWT08,AWT09,W1_2,W2_3,W3_4,W4_5,W5_6,W6_7,W7_8,W8_9,TYPE
405,20000110T124847,99759,1,1,83,4,13180,1.7,1.6,1626,5,7080,2940,1550,1610,0,0,0,0,0,465,553,379,0,0,0,0,0,1111
405,20000110T124857,99760,1,1,79,3,16750,7.1,7,928,4,8340,4400,4010,0,0,0,0,0,0,538,135,0,0,0,0,0,0,12
405,20000110T124931,99761,1,1,95,2,4670,9.1,9,690,4,1630,3040,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,11
405,20000110T124932,99762,1,1,87,2,9460,1.2,0.9,766,4,4230,5230,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,11
405,20000110T125029,99763,1,1,76,4,8200,2.3,2.2,1333,6,2310,1830,1990,2070,0,0,0,0,0,359,579,140,0,0,0,0,0,112
405,20000110T125230,99764,1,1,91,2,5590,3.9,3.7,774,4,3620,1970,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,11
405,20000110T125241,99765,1,1,88,4,14290,4.9,4.8,1454,6,6440,3980,1850,2020,0,0,0,0,0,362,705,132,0,0,0,0,0,112
405,20000110T125245,99766,1,1,89,4,17700,4,3.4,1848,5,6110,6940,2500,2150,0,0,0,0,0,549,587,493,0,0,0,0,0,1111
405,20000110T125254,99767,1,1,88,4,15470,3,2.9,876,4,2670,2490,4430,5880,0,0,0,0,0,173,366,133,0,0,0,0,0,22
405,20000110T125319,99768,1,1,93,4,18870,1.8,1.7,1477,6,6810,5180,3330,3550,0,0,0,0,0,359,728,135,0,0,0,0,0,112
405,20000110T125342,99769,1,1,89,2,8510,7.6,7.5,821,4,4800,3710,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,11
405,20000110T125408,99770,1,1,91,4,11350,3.1,3,1876,5,4890,3560,1650,1250,0,0,0,0,0,565,533,541,0,0,0,0,0,1111
405,20000110T125503,99771,1,1,88,3,12140,2.6,2.5,1434,6,4660,4280,3200,0,0,0,0,0,0,388,850,0,0,0,0,0,0,111
405,20000110T125521,99772,1,1,85,4,15100,1.7,1.6,1428,6,2660,4440,3960,4040,0,0,0,0,0,354,680,139,0,0,0,0,0,112
405,20000110T125528,99773,1,1,88,2,9450,4.3,4.2,781,4,4780,4670,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,11
405,20000110T125533,99774,1,1,82,3,5420,4.8,4.5,1463,6,2130,1640,1650,0,0,0,0,0,0,374,834,0,0,0,0,0,0,111
